Gene_Expression,Protein_Expression
2.8727005942368127,5.832448256711797
5.75357153204958,11.208135713633293
4.659969709057025,9.411700194649551
3.993292420985183,5.999015927369474
1.7800932022121825,3.340514516586853
1.7799726016810133,3.917057774873773
1.2904180608409974,4.058730166423511
5.330880728874676,10.143491239475704
4.005575058716044,7.2026565145389005
4.540362888980227,8.578968734375918
1.1029224714790122,3.1212470606600986
5.8495492608099715,12.027849631279627
5.162213204002109,9.79466620423718
2.061695553391381,4.636658539896118
1.909124836035503,3.9153272214190467
1.917022549267169,4.8026900890672275
2.5212112147976886,4.340369335718025
3.6237821581611893,6.919902169724611
3.1597250932105787,5.9273420332889994
2.4561457009902097,3.448776453848301
4.059264473611897,8.41464922428837
1.6974693032602093,3.6559938787003077
2.4607232426760905,4.926559941994642
2.8318092164684585,5.42903129956177
3.28034992108518,5.1453291001199455
4.925879806965068,9.431114291164777
1.9983689107917986,3.654023305056828
3.571172192068058,6.340067114914497
3.9620728443102124,7.762859976954416
1.2322520635999887,2.8685549840145157
4.037724259507192,9.961634420224913
1.8526206184364575,3.879819049704754
1.3252579649263976,2.9080663205755597
5.7444276862666666,11.414409456767165
5.828160165372797,9.737549115446551
5.041986740582305,10.057459605715394
2.5230688458668533,5.106367901674733
1.4883605700319193,5.439963252549125
4.421165132560784,8.649969300340445
3.2007624686980067,6.703072279729626
1.6101911742238941,3.185670578742545
3.475884550556351,5.78309106349317
1.171942605576092,3.4867080256672045
5.546602010393911,11.845137053474595
2.2938999080000846,5.378831763043216
4.31261142176991,7.715835388745081
2.558555380447055,6.519905071830209
3.600340105889054,5.798829148985828
3.7335513967163982,8.053959887233066
1.9242722776276353,6.03900018106525
5.847923138822793,10.705309952514897
4.875664116805573,9.185030504008374
5.697494707820946,11.494640780729533
5.474136752138244,10.444797850160288
3.9894998940554256,6.428336357044719
5.609371175115584,11.287305325037195
1.4424625102595976,1.8226213067930903
1.979914312095726,4.433421054826634
1.2261364445526903,1.5328486548715774
2.626651653816322,6.8032377126501835
2.94338644844741,5.103519604558583
2.3567451588694794,4.391428801533284
5.143687545759647,11.100892308888964
2.7837666334679465,4.336668950501938
2.4046725484369036,5.036805031477937
3.7134804157912424,8.734103585864913
1.7046211248738132,1.801759015186399
5.010984903770199,10.206603666072702
1.372753218398854,3.0053892310461316
5.9344346830025865,12.650692237782483
4.861223846483287,8.485496982088492
1.993578407670862,2.6667002022574477
1.027610585618012,2.5771627368529217
5.0773071422741705,10.451598957781528
4.534286719238086,9.319066288822048
4.645035840204937,9.636519889906848
4.856351733429729,9.032678745280966
1.370223258670452,2.9727002145019075
2.792328642721363,5.877729758741408
1.5793452976256486,2.444339177224929
5.315517129377968,12.496808769900692
4.11649063413779,8.706814189187368
2.654490124263246,4.1176767513238435
1.3177917514301183,3.2921371114940663
2.554911608578311,4.135141546929301
2.6259166101337352,6.038917824009922
4.64803089169032,10.454657362388044
4.187787356776066,7.5548923952004206
5.436063712881633,11.835503555007588
3.3610746258097466,7.134930178555991
1.5979712296915085,4.018002619377507
4.566223936114975,11.029240854883897
4.803925243084487,9.362462370166105
3.8063859878474813,6.859035811337473
4.854835899772805,8.820157369920087
3.4689779818219537,6.12214567867847
3.6136641469099704,7.150226584405837
3.137705091792748,6.61656215840214
1.1270956337204758,2.5308820667709706
1.5394571349665223,3.9060975189690685
